sample_id,max_bridge_temp_c,fault_code,fault_label,T1,T2,T3,Ia_original,Ib_original,IDC_original,Power_DC,Power_AC,Current_Imbalance,Temp_Diff_Max
109,12.146836,F0,normal_operation,10.577242,11.483951,12.146836,1.001955,-6.036168,-0.219941,2.71261,18.807429,-2.769231,1.569595
110,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,1.050831,-5.938416,-0.366569,10.127077,91.324536,-2.831683,1.902255
111,12.396252,F0,normal_operation,10.659462,11.649381,12.396252,1.001955,-5.987292,-0.317693,8.861193,55.879765,-2.776699,1.73679
112,12.396252,F0,normal_operation,10.659462,11.483951,12.396252,1.001955,-6.036168,-0.268817,11.935484,94.037146,-2.769231,1.73679
113,12.396252,F0,normal_operation,10.577242,11.566642,12.396252,1.050831,-5.987292,-0.268817,11.935484,92.228739,-2.823529,1.81901
114,12.396252,F0,normal_operation,10.659462,11.401305,12.396252,0.953079,-6.036168,-0.219941,6.329423,56.964809,-2.72381,1.73679
115,11.815002,F0,normal_operation,10.577242,11.483951,11.815002,1.001955,-5.987292,-0.317693,8.861193,55.879765,-2.776699,1.237761
116,12.396252,F0,normal_operation,10.577242,11.401305,12.396252,1.050831,-5.987292,-0.268817,9.765396,92.228739,-2.823529,1.81901
117,12.229922,F0,normal_operation,10.49506,11.401305,12.229922,1.099707,-6.036168,-0.268817,7.595308,129.120235,-2.862745,1.734862
118,12.396252,F0,normal_operation,10.659462,11.401305,12.396252,1.099707,-5.889541,-0.219941,9.946237,17.903226,-2.888889,1.73679
119,12.396252,F0,normal_operation,10.659462,11.153638,12.396252,1.001955,-5.938416,-0.171065,6.510264,92.228739,-2.784314,1.73679
120,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,1.099707,-5.889541,-0.219941,8.13783,53.709677,-2.888889,1.902255
121,12.396252,F0,normal_operation,10.659462,12.146836,12.396252,0.953079,-5.987292,-0.366569,13.020528,94.037146,-2.730769,1.73679
122,12.479497,F0,normal_operation,10.577242,11.318705,12.479497,0.953079,-5.987292,-0.171065,5.063539,131.652004,-2.730769,1.902255
123,12.479497,F0,normal_operation,10.659462,11.815002,12.479497,1.001955,-5.889541,-0.219941,6.329423,54.794721,-2.792079,1.820035
124,12.396252,F0,normal_operation,10.577242,11.401305,12.396252,1.001955,-5.987292,-0.268817,9.765396,55.879765,-2.776699,1.81901
125,12.479497,F0,normal_operation,10.659462,12.063802,12.479497,0.953079,-6.085044,-0.317693,11.392962,95.845552,-2.716981,1.820035
126,12.396252,F0,normal_operation,10.741722,11.401305,12.396252,0.953079,-6.085044,-0.268817,9.765396,95.845552,-2.716981,1.65453
127,11.980819,F0,normal_operation,10.577242,11.401305,11.980819,1.050831,-6.036168,-0.171065,5.063539,55.879765,-2.815534,1.403577
128,12.396252,F0,normal_operation,10.577242,11.401305,12.396252,0.953079,-6.085044,-0.219941,6.329423,95.845552,-2.716981,1.81901
129,13.735092,F0,normal_operation,9.266558,11.401305,13.735092,1.001955,-6.182796,-0.171065,6.510264,96.749756,-2.747664,4.468533
130,12.313061,F0,normal_operation,10.412917,11.401305,12.313061,1.001955,-6.085044,-0.317693,8.861193,94.941349,-2.761905,1.900144
131,13.48288,F0,normal_operation,10.577242,11.483951,13.48288,0.953079,-6.036168,-0.268817,7.595308,94.941349,-2.72381,2.905638
